,평점,본문
32,5,아이가 혼자 바르면서 사용하기에 너무좋아요원플원이라 엄마와 딸이 같이 사용하고있어요아이가 혼자 바르면서 사용하기에 너무좋아요원플원이라 엄마와 딸이 같이 사용하고있어요3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
33,4,아직 사용전이긴 한데 크림 발라주는 것보다 편할 것 같아요   그리고 요즘 아기가 엄마 쿠션 바르는 거 흉내 많이 내는데 보면 좋아할듯요 ㅋㅋSPF 지수도 높고 성분 좋다고 해서 아직 사용전이긴 한데 크림 발라주는 것보다 편할 것 같아요   그리고 요즘 아기가 엄마 쿠션 바르는 거 흉내 많이 내는데 보면 좋아할듯요 ㅋㅋSPF 지수도 높고 성분 좋다고 해서 샀어요아기 피부는 소중하니까요3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
34,5,일반 썬크림보단 순하겠다고 생각하고 써요일반 썬크림보단 순하겠다고 생각하고 써요
35,5,일반 썬크림보단 순허깄지 하고 써요일반 썬크림보단 순허깄지 하고 써요
36,4,사용하기 좋아요 엄마들 사이에서 믿쓰 몽디에스라 구매 잘했네요 근데 양이 좀 작은거 같아 별하나 뺐어요사용하기 좋아요 엄마들 사이에서 믿쓰 몽디에스라 구매 잘했네요 근데 양이 좀 작은거 같아 별하나 뺐어요
37,5,성분이좋은제품을골라쓰는데약간매트한감이있네요 좀더사용해봐야할듯자극은없었어요성분이좋은제품을골라쓰는데약간매트한감이있네요 좀더사용해봐야할듯자극은없었어요
38,4,늘 쓰던 제품입니다  유통기항 21년 5월까지네요그럭저럭 괜찮아요늘 쓰던 제품입니다  유통기항 21년 5월까지네요그럭저럭 괜찮아요
39,5,야외에 나갔을때 덧바르기좋아요스틱보다 좋으네요야외에 나갔을때 덧바르기좋아요스틱보다 좋으네요
40,5,초딩아이 직접 등교전에 바르라고 줬네요백탁없고 잘발려요리필있음 좋겠어요초딩아이 직접 등교전에 바르라고 줬네요백탁없고 잘발려요리필있음 좋겠어요
41,4,아이 피부가 약해서 순하다는 왠만한 것들도 안되는데 요 제품은 괜찮네요아이 피부가 약해서 순하다는 왠만한 것들도 안되는데 요 제품은 괜찮네요
42,4,자극적이지 않고 번들거림없이 사용하기 좋아요자극적이지 않고 번들거림없이 사용하기 좋아요
43,5,재구매예요 괜찮아요 아이도 잘 바르고요재구매예요 괜찮아요 아이도 잘 바르고요
