,평점,본문
155,5,어제 주문했는데 오늘 도착했어요 그리고 유통기한도 2022년까지로 길고요 백화점 상품이랑 동일하네요 저렴한 가격으로 잘 구매한것같아요 많이많이 오래오래 파세요어제 주문했는데 오늘 도착했어요 그리고 유통기한도 2022년까지로 길고요 백화점 상품이랑 동일하네요 저렴한 가격으로 잘 구매한것같아요 많이많이 오래오래 파세요2개의 포토리뷰2개의 포토리뷰
156,4,물로 지워지는 썬크림이랑 고민하다가 이거 주문했는데 아기 얼굴 클렌징이 좀 귀찮긴 하지만 그래도 좋아요물로 지워지는 썬크림이랑 고민하다가 이거 주문했는데 아기 얼굴 클렌징이 좀 귀찮긴 하지만 그래도 좋아요
157,5,늘사용하는 제품이라 만족해요빠른배송 저렴한가격 감사드립니다늘사용하는 제품이라 만족해요빠른배송 저렴한가격 감사드립니다
158,5,다른 썬크림은 겁나 찝찝하고 가려운데 순해서 어른인 저도 바름다른 썬크림은 겁나 찝찝하고 가려운데 순해서 어른인 저도 바름
159,5,후기여름이라 타지않게 발라줘요 케이스도 이쁘고 애는좋아해요
160,5,아기가 아주 좋아요 물로 씻어도 되니까 편해요아기가 아주 좋아요 물로 씻어도 되니까 편해요
161,5,9살 아들 발라 주려고 구매했어요9살 아들 발라 주려고 구매했어요
162,5,백탁현상이 있지만 퍼프로 두드려 사용하니 아이가 사용하기 편합니다백탁현상이 있지만 퍼프로 두드려 사용하니 아이가 사용하기 편합니다
163,5,프리메라 릴리프선쿠션 사용했는데 제품이 없어서 사봤어요 배송빨랐구요프리메라 릴리프선쿠션 사용했는데 제품이 없어서 사봤어요 배송빨랐구요
164,4,마음에 듭니다 다음에 또 살께요 마음에 듭니다 다음에 또 살께요 
165,5,아이들도 저도 너무 좋습니다 잘 사용하고 또 구매할께요아이들도 저도 너무 좋습니다 잘 사용하고 또 구매할께요
166,5,쓰기편해요 근데 또 막상 잘 안발라준다는 함정이쓰기편해요 근데 또 막상 잘 안발라준다는 함정이
167,5,자극없이 잘쓰여요퍼프를 이용하니 너무 편해요자극없이 잘쓰여요퍼프를 이용하니 너무 편해요
168,5,아이가늘쓰던제품이에요배송도 빨랐어요아이가늘쓰던제품이에요배송도 빨랐어요
169,4,잘받았어요 배송은 다른곳보다 하루느림잘받았어요 배송은 다른곳보다 하루느림
170,5,배송빨라요!사물의 품질도 좋습니다배송빨라요!사물의 품질도 좋습니다
171,5,빠른 배달아주 좋은 제품빠른 배달아주 좋은 제품
172,3,잘 쓰고 있습니다잘 쓰고 있습니다
173,5,프리메라믿고구매했어요콩순이팩트사용하다 클렌징을 프리메라로사용중이라같은팩트로 샀네요
174,5,알러지피부에 좋아요아이가 썬크림순하다는거 다발라봐도 알러지피부에 좋아요아이가 썬크림순하다는거 다발라봐도 햇빛받으면  화상입은거처럼 빨갛게 부어오르는데 이거랑 라로슈포제는 괜찮아요
175,5,살짝 백탁현상있는데 전 이게 좋더라구요다른제품 스틱썼는데 너무 들고다니며 얼굴이며 벽이며 바르고 다녀서 이걸로 했는데 엄마따라 톡톡하며 좋아해요살짝 백탁현상있는데 전 이게 좋더라구요다른제품 스틱썼는데 너무 들고다니며 얼굴이며 벽이며 바르고 다녀서 이걸로 했는데 엄마따라 톡톡하며 좋아해요
176,5,얼굴 좁쌀비슷한뽀루지가 올라오는데 이건 순해서인지 전현 그런게없어 좋아요얼굴 좁쌀비슷한뽀루지가 올라오는데 이건 순해서인지 전현 그런게없어 좋아요
