,평점,본문
121,5,애들이 너무좋아하네요 박스터진곳없이 잘받았습니다애들이 너무좋아하네요박스터진곳없이 잘받았습니다
122,5,아직 애기가 나오게 하는 법을 아직 애기가 나오게 하는 법을 몰라서 좋아요
123,5,5살 아들내미까지 열심히 두드려5살 아들내미까지 열심히 두드려주시네요
124,5,우리 손녀가 즐겨 사용 중! 만족우리 손녀가 즐겨 사용 중! 만족합니다
125,5,너무 좋아해서 엄청 찍어 바르네요 너무 좋아해서 엄청 찍어 바르네요 
126,5,편해요가지고 다니면서 톡톡 두드려줘요
127,5,배송오류가 최악이었어요배송오류가 최악이었어요
128,5,아기가 너무좋아해요아기가 너무좋아해요
129,5,저렴하게잘샀어요저렴하게잘샀어요
130,5,아토팜이니깐 믿고 사용합니다 아이들이 너무 좋아하네요아토팜이니깐 믿고 사용합니다 아이들이 너무 좋아하네요
131,4,애기랑잘쓰고있어요바르기도편하고좋아요애기랑잘쓰고있어요바르기도편하고좋아요
132,5,여분의 퍼프도 있고 샘플도 있어여분의 퍼프도 있고 샘플도 있어서 좋아요
133,5,트러블도 없고 아이가 참 좋아합니다트러블도 없고 아이가 참 좋아합니다
134,4,아직사용전이지만 괜찮을거같아요아직사용전이지만 괜찮을거같아요
135,5,초등학생이 쓰기에 좋은것같아요초등학생이 쓰기에 좋은것같아요
136,5,믿고 구매했어요 정말 좋아오ㅡ믿고 구매했어요 정말 좋아오ㅡ
137,5,이것만써요 순하고좋습니다이것만써요 순하고좋습니다
138,5,저렴한 가격에 잘 샀습니다!저렴한 가격에 잘 샀습니다!
139,5,잘받았습니다잘받았습니다
140,5,6살 아이가 화장놀이 하듯 선크6살 아이가 화장놀이 하듯 선크림 바르는걸 좋아해요약간 특유의 향이 있는데 아이는 별로 신경 안써요 전 조금 별로인듯 무향을 선호하는편이라
141,5,유치원 초등학교 저학년 아이가 유치원 초등학교 저학년 아이가 사용하려고 샀어요 작년하고 디자인이 좀 바꼈네요
142,5,아이가 너무 좋아해요 근데 클렌아이가 너무 좋아해요 근데 클렌징폼을 못해서 자주 못쓰는 아쉬움이 있어요ㅜㅜ
143,5,성분검색해서 구매했어요 아이도성분검색해서 구매했어요 아이도 맘에 들어하네요
144,5,사용하기 너무 편하구요아이도 좋아해요사용하기 너무 편하구요아이도 좋아해요
145,5,톡톡 두드리면 되서 사용하기 좋톡톡 두드리면 되서 사용하기 좋아요
