,평점,본문
70,5,잘받았어요배송도 빠르고 맘에들어요잘받았어요배송도 빠르고 맘에들어요
71,5,늘 이용하는 제품입니다감사늘 이용하는 제품입니다감사합니다
72,5,전 이 제품을 예전부터 썼어요! 촉촉하고 자연스럽게 하얘져요 가격도 괜찮도 트러블도 안나요전 이 제품을 예전부터 썼어요! 촉촉하고 자연스럽게 하얘져요 가격도 괜찮도 트러블도 안나요2개의 포토리뷰2개의 포토리뷰
73,5,배송이 정말정말 빨라서 좋아요배송이 정말정말 빨라서 좋아요
74,4,피부가 민감한데 순해서 좋아요피부가 민감한데 순해서 좋아요
75,5,원뿔원할때마다 쟁여놓고 쓰고 있어요! 제 기준 눈시림도 없고 톤업도 돼서 화장 안할 때 잘 바르고 있습니다원뿔원할때마다 쟁여놓고 쓰고 있어요! 제 기준 눈시림도 없고 톤업도 돼서 화장 안할 때 잘 바르고 있습니다
76,5,너무 너무 좋아요 배송도 빠릅니다감사합니다!너무 너무 좋아요 배송도 빠릅니다감사합니다!
77,5,나쁘지 않는 같아요더 열심히 써봐야겠어요나쁘지 않는 같아요더 열심히 써봐야겠어요
78,5,가족들과 잘 사용하고있어요가족들과 잘 사용하고있어요
79,5,좋아요 잘 쓸게요좋아요잘 쓸게요
80,5,저렴하게 잘 샀네요저렴하게 잘 샀네요
81,5,항상애용품 잘쓸게요 추천도 합니다항상애용품 잘쓸게요 추천도 합니다
82,5,됴아요 아직 써보진않앗지만됴아요 아직 써보진않앗지만
83,5,맘에 들어요배송도 빠르고맘에 들어요배송도 빠르고
84,5,아이와 같이 쓰려고 샀어요아이와 같이 쓰려고 샀어요
85,5,계속 이것만 사용해요계속 이것만 사용해요
86,3,배송 빠르고 깨끗해요배송 빠르고 깨끗해요
87,5,11이라득템 부드럽게 잘발리고 끈적이지않아 좋아요11이라득템부드럽게 잘발리고 끈적이지않아 좋아요세수는 보통때보다 2배로했어요재구매예정
88,5,포장도 잘 되어 왔고 제품 자체도 좋습니다 몇 통째 쓰네요포장도 잘 되어 왔고 제품 자체도 좋습니다 몇 통째 쓰네요
89,5,한 번 썼지만 참 좋네여한 번 썼지만 참 좋네여
90,4,굿   좋아요굿   좋아요
91,4,눈가 시림이 심해서 일반 선크림 못쓰는데 이제품은 눈시림이 없어서 사용하고 있어요눈가 시림이 심해서 일반 선크림 못쓰는데 이제품은 눈시림이 없어서 사용하고 있어요
92,5,배송상태도 좋고 사용기한도 일년이상 남았네요  사은품배송상태도 좋고 사용기한도 일년이상 남았네요 사은품도 너무푸짐합니다 대박템 꼭필요한 상품만 담았는데 더 구매할걸그랬네요 맘키즈 선크림도 매우 좋아요!! 다음에는 아이라이너를 구매예정입니다 
93,5,썬크림 드디어 이걸로 정착각이네요 백탁도 딱 예쁘게 뽀얘지고 무엇보다 발림성이 너무 좋아요 바를때 허옇게 뜨지도 않고요 다른데 몇만원 하는 선크림보다 훨씬 나아요썬크림 드디어 이걸로 정착각이네요 백탁도 딱 예쁘게 뽀얘지고 무엇보다 발림성이 너무 좋아요 바를때 허옇게 뜨지도 않고요 다른데 몇만원 하는 선크림보다 훨씬 나아요
94,4,요새 화장을 안해서 안쓰긴하는데 계속 이것만 써요 적당히 피부톤 보정해주고 좋아요요새 화장을 안해서 안쓰긴하는데 계속 이것만 써요 적당히 피부톤 보정해주고 좋아요
95,5,좋아요 약간하에지는거좋아하구 순한것같구 유분기덜한것같아좋아요약간하에지는거좋아하구순한것같구유분기덜한것같아요
96,5,순하고 좋아서 계속 요것만 쓰네요순하고 좋아서 계속 요것만 쓰네요
97,5,그니까계속 써오던거라그니까계속 써오던거라
98,5,잘발려지고 좋라료순하고잘발려지고 좋라료순하고
99,5,순하고 너무 좋아요순하고 너무 좋아요
100,4,모름모름
101,5,쿠폰할인 받아서 잘 샀습니다 배송도 빨라서 잘 사용하쿠폰할인 받아서 잘 샀습니다 배송도 빨라서 잘 사용하고 있습니다
102,5,아이와 함께 사용하기 좋은 것 같습니다아이와 함께 사용하기 좋은 것 같습니다
103,5,늘 쓰던겁니다 저한텐 잘 맞아요늘 쓰던겁니다 저한텐 잘 맞아요
104,5,끈적이지않고   순해요끈적이지않고   순해요
105,5,좋을듯해요좋을듯해요
106,3,지성 피부에 좋다고 해서 구매했는데 너무 촉촉해서 제 지성 피부에 좋다고 해서 구매했는데 너무 촉촉해서 제 피부에는 잘 안 맞아요
107,5,항상 쓰는 거라 한번에 여러개 샀어요 순해서 좋아요! 배송도 빠릅니당항상 쓰는 거라 한번에 여러개 샀어요 순해서 좋아요! 배송도 빠릅니당
108,5,발림성도 좋고 피부톤도 밝아져요발림성도 좋고 피부톤도 밝아져요
109,5,저렴하게구입했어요저렴하게구입했어요
110,5,사은품도 감사합니다사은품도 감사합니다
111,5,늘 사용하는 상품이에요 순해서 좋아요늘 사용하는 상품이에요순해서 좋아요
112,5,좋아요 잘쓰고있어요 굿나잇좋아요 잘쓰고있어요 굿나잇
113,5,평소에 쓰던거라 좋아요평소에 쓰던거라 좋아요
114,5,진짜 짱이에요 이 선크림만 쓸래요 앞으로 피부표현 넘 이쁘게 되네요 가격대비 퀄리티 대박진짜 짱이에요 이 선크림만 쓸래요 앞으로 피부표현 넘 이쁘게 되네요 가격대비 퀄리티 대박
115,5,무기자차라 백탁은 어쩔수 없지만 가격대비 좋은거 같아요 저렴하게 구입했어요무기자차라 백탁은 어쩔수 없지만 가격대비 좋은거 같아요 저렴하게 구입했어요
116,4,매일 쓰는 선크림인데 순하고 좋아요적당히 하얘지구요매일 쓰는 선크림인데 순하고 좋아요적당히 하얘지구요
117,5,리뉴얼되고 처음이네요 자극적이지 않아 좋아요 리뉴얼되고 처음이네요 자극적이지 않아 좋아요 
118,5,좋아요늘쓰던거라서요  썬크림필수!늘쓰던거라서요  썬크림필수!
119,5,좋은제품 잘 받았어요좋은제품 잘 받았어요
120,5,좋아요상품도 만족합니다 배송도 만족합니다
121,4,백탁수준은 얼굴이 자연스럽게 뽀얘지는 수준이에요 만족백탁수준은 얼굴이 자연스럽게 뽀얘지는 수준이에요 만족
122,4,트러블생겨 선크림바르기 싫어하는데 이제품은 괜찮아 마음트러블생겨 선크림바르기 싫어하는데 이제품은 괜찮아 마음놓고 구매합니다
123,5,트러블 많은 피부라 사용하는 썬크림이에오배송도빠르고 트러블 많은 피부라 사용하는 썬크림이에오배송도빠르고 샘플도 주시네요
124,5,배송이 빠르네요 좋아요배송이 빠르네요 좋아요
125,5,원래항상쓰는거에여 이거만써용원래항상쓰는거에여 이거만써용
126,5,좋아요  계속 쓰고 있습니다좋아요  계속 쓰고 있습니다
127,4,평소 화장을 잘 안 하기에 선크림을 즐겨 바르는데 성분이 착해 가볍게 바르기 좋은 것 같아요평소 화장을 잘 안 하기에 선크림을 즐겨 바르는데 성분이 착해 가볍게 바르기 좋은 것 같아요
128,5,배송도 빠르고 안전하게 잘 받았어요배송도 빠르고 안전하게 잘 받았어요
129,5,빠른 배송 좋은 물건 너무 좋아요빠른 배송 좋은 물건 너무 좋아요
130,5,오프라인보다 싸서구매함오프라인보다 싸서구매함
131,5,꾸준히 쓰던거라 좋아요꾸준히 쓰던거라 좋아요
132,5,부드럽게발려서 좋아요부드럽게발려서 좋아요
133,5,항상 매번 쓰고 있어요항상 매번 쓰고 있어요
134,5,촉촉해서 좋아요촉촉해서 좋아요
135,5,잘받았습니다잘받았습니다
136,5,좋아요 늘쓰던거라좋아요 순해요좋아요 늘쓰던거라좋아요 순해요
137,5,예전에 쓰던건데 다시써서 좋네여예전에 쓰던건데 다시써서 좋네여
138,4,배송빠르고저렴해요배송빠르고저렴해요
139,5,안찐득이고 좋네요안찐득이고 좋네요
140,4,기존에쓰는 제품이 어두운살색이라 섞어쓰는용으로 사서 만족하며 쓰고있어요 트러블은 없는데 눈가에바르면 좀 시립니다그리고 촉촉하진 않아요일반적인 무기자차제형입니다기존에쓰는 제품이 어두운살색이라 섞어쓰는용으로 사서 만족하며 쓰고있어요 트러블은 없는데 눈가에바르면 좀 시립니다그리고 촉촉하진 않아요일반적인 무기자차제형입니다
141,5,좋아요 몇년째 쓰고있는거에요 ㅎㅎㅎ좋아요 몇년째 쓰고있는거에요 ㅎㅎㅎ
142,5,잘 애용하고 있습니다감사합잘 애용하고 있습니다감사합니다
143,3,순한거같아요 근데 건조하네요ㅜ 재구매는 안할거같아요순한거같아요 근데 건조하네요ㅜ 재구매는 안할거같아요
144,5,포장이 바뀌면서 발림성이 더 부드러워졌네요포장이 바뀌면서 발림성이 더 부드러워졌네요
145,5,토니모리 키즈 앤 맘 선크림 이라더니 정말 순하고 좋으토니모리 키즈 앤 맘 선크림 이라더니 정말 순하고 좋으네요타사 제품 좋다고해서 사용하다 트러블이 자꾸 일어나서 못쓰겠더니 이 제품은 아주 좋아요!
146,5,아직 사용 전이지만 피부에 잘 맞았으면 좋겠네요!!ㅎㅎ아직 사용 전이지만 피부에 잘 맞았으면 좋겠네요!!ㅎㅎ
147,5,외부디자인색상이 노란색에서 흰색으로 변경됨 착한가격에외부디자인색상이 노란색에서 흰색으로 변경됨 착한가격에 배송도빠름 사용기힌은2021년12월23일까지 입니다
148,5,항상 쓰던 제품 온라인으로 더 싸게 구입했어요항상 쓰던 제품 온라인으로 더 싸게 구입했어요
149,4,아직 써보질않아서 좋겠죠좋아야  하는댕아직 써보질않아서좋겠죠좋아야  하는댕
150,4,빠른배송 감사드리며  맘에 들어요빠른배송 감사드리며  맘에 들어요
151,5,매번사용하는제품이라 너무죵아요매번사용하는제품이라 너무죵아요
152,5,적당히 하얘지고 냄새도 좋아요적당히 하얘지고 냄새도 좋아요
153,3,쿠폰으로 저렴하게 구입합니다쿠폰으로 저렴하게 구입합니다
154,4,사용전이라ㅠ 맘에 들길사용전이라ㅠ 맘에 들길
155,4,저렴하게 구매했네요저렴하게 구매했네요
156,5,좋아여 키즈앤맘 둘다 아닌데 좋아하는 선크림입니다좋아여 키즈앤맘 둘다 아닌데 좋아하는 선크림입니다
157,5,선크림 중에서 최고예요ㅎㅎ 인생템! 배송도 빠르고 좋아요선크림 중에서 최고예요ㅎㅎ 인생템! 배송도 빠르고 좋아요
158,5,늘쓰는거라 좋아요좋아요!늘쓰는거라 좋아요좋아요!
159,4,배송빨라요 포장이 하얀색으로 바뀌었네요아직사용전이지배송빨라요 포장이 하얀색으로 바뀌었네요아직사용전이지만 성분이 같다면 잘 쓸것같아요
160,3,여름에 아이 한테발라주니 좋더나고요여름에 아이 한테발라주니 좋더나고요
161,5,잘받았어요피부에 자극되지 않게 순해서 좋아요
