,date
1336,2017
1337,2020
1338,2017
1339,2019
1340,2020
1341,2017
1342,2017
1343,2019
1344,2020
1345,2019
1346,2016
1347,2017
1348,2018
1349,2019
1350,2017
1351,2017
1352,2016
1353,2020
1354,2017
1355,2018
1356,2019
1357,2019
1358,2019
1359,2016
1360,2018
1361,2018
1362,2018
1363,2016
1364,2017
1365,2019
1366,2020
1367,2021
1368,2016
1369,2019
1370,2016
1371,2018
1372,2019
1373,2017
1374,2016
1375,2019
1376,2018
1377,2017
1378,2018
1379,2018
1380,2020
1381,2020
1382,2019
1383,2017
1384,2020
1385,2016
1386,2017
1387,2020
1388,2019
1389,2018
1390,2016
1391,2018
1392,2017
1393,2016
1394,2020
1395,2019
1396,2019
1397,2020
1398,2019
1399,2019
1400,2018
1401,2016
1402,2017
1403,2016
1404,2016
1405,2017
1406,2020
1407,2019
1408,2017
1409,2016
1410,2020
1411,2018
1412,2019
1413,2016
1414,2017
1415,2019
1416,2016
1417,2019
1418,2016
1419,2016
1420,2016
1421,2016
1422,2020
1423,2019
1424,2016
1425,2020
1426,2020
1427,2017
1428,2020
1429,2016
1430,2016
1431,2016
1432,2017
1433,2019
1434,2016
1435,2020
1436,2018
1437,2017
1438,2019
1439,2017
1440,2018
1441,2016
1442,2018
1443,2018
1444,2016
1445,2019
1446,2016
1447,2017
1448,2016
1449,2018
1450,2018
1451,2017
1452,2019
1453,2016
1454,2016
1455,2021
1456,2018
1457,2020
1458,2016
1459,2017
1460,2019
1461,2018
1462,2020
1463,2016
1464,2020
1465,2018
1466,2016
1467,2016
1468,2016
1469,2016
1470,2018
1471,2016
1472,2020
1473,2016
1474,2016
1475,2020
1476,2020
1477,2018
1478,2016
1479,2019
1480,2019
1481,2020
1482,2019
1483,2016
1484,2016
1485,2017
1486,2018
1487,2018
1488,2020
1489,2020
1490,2019
1491,2017
1492,2017
1493,2020
1494,2018
1495,2018
1496,2018
1497,2019
1498,2018
1499,2016
1500,2016
1501,2016
1502,2020
1503,2017
1504,2017
1505,2017
1506,2020
1507,2018
1508,2020
1509,2016
1510,2018
1511,2018
1512,2020
1513,2018
1514,2018
1515,2019
1516,2017
1517,2020
1518,2017
1519,2019
1520,2018
1521,2017
1522,2016
1523,2019
1524,2018
1525,2017
1526,2016
1527,2020
1528,2017
1529,2018
1530,2018
1531,2018
1532,2016
1533,2017
1534,2017
1535,2016
1536,2018
1537,2017
1538,2018
1539,2020
1540,2020
1541,2016
1542,2018
1543,2020
1544,2017
1545,2016
1546,2017
1547,2019
1548,2018
1549,2021
1550,2018
1551,2016
1552,2018
1553,2018
1554,2021
1555,2017
1556,2021
1557,2016
1558,2020
1559,2016
1560,2016
1561,2020
1562,2020
1563,2020
1564,2020
1565,2016
1566,2016
1567,2020
1568,2017
1569,2016
1570,2018
1571,2016
1572,2016
1573,2018
1574,2018
1575,2017
1576,2019
1577,2016
1578,2021
1579,2020
1580,2018
1581,2019
1582,2016
1583,2017
1584,2020
1585,2018
1586,2021
1587,2018
1588,2020
1589,2016
1590,2021
1591,2016
1592,2019
1593,2020
1594,2018
1595,2017
1596,2020
1597,2016
1598,2016
1599,2016
1600,2016
1601,2018
1602,2016
1603,2019
1604,2017
1605,2019
1606,2018
1607,2019
1608,2019
1609,2017
1610,2019
1611,2017
1612,2016
1613,2020
1614,2017
1615,2016
1616,2016
1617,2016
1618,2017
1619,2020
