,date
2297,2017
2298,2017
2299,2016
2300,2017
2301,2016
2302,2019
2303,2019
2304,2017
2305,2017
2306,2017
2307,2018
2308,2018
2309,2017
2310,2018
2311,2017
2312,2016
2313,2018
2314,2016
2315,2020
2316,2017
2317,2017
2318,2018
2319,2020
2320,2019
2321,2017
2322,2017
2323,2016
2324,2019
2325,2016
2326,2017
2327,2021
2328,2018
2329,2017
2330,2016
2331,2017
2332,2017
2333,2018
2334,2016
2335,2019
2336,2016
2337,2016
2338,2016
2339,2016
2340,2017
2341,2017
2342,2016
2343,2018
2344,2019
2345,2017
2346,2017
2347,2016
2348,2017
2349,2018
2350,2017
2351,2017
2352,2017
2353,2016
2354,2017
2355,2019
2356,2018
2357,2018
2358,2016
2359,2017
2360,2018
2361,2018
2362,2017
2363,2017
2364,2016
2365,2017
2366,2018
2367,2017
2368,2017
2369,2016
2370,2016
2371,2016
2372,2016
2373,2016
2374,2017
2375,2016
2376,2018
2377,2018
2378,2017
2379,2018
2380,2016
2381,2016
2382,2017
2383,2016
2384,2017
2385,2020
2386,2017
2387,2016
2388,2016
2389,2016
2390,2018
2391,2017
2392,2018
2393,2017
2394,2017
2395,2017
2396,2017
2397,2019
2398,2016
2399,2016
2400,2017
2401,2017
2402,2016
2403,2019
2404,2016
2405,2018
2406,2016
2407,2016
2408,2019
2409,2019
2410,2017
2411,2016
2412,2018
2413,2016
2414,2019
2415,2016
2416,2016
2417,2016
2418,2018
2419,2018
2420,2017
2421,2017
2422,2017
2423,2019
2424,2018
2425,2016
2426,2017
2427,2016
2428,2017
2429,2016
2430,2020
2431,2017
2432,2016
2433,2017
2434,2016
2435,2016
2436,2016
2437,2019
2438,2017
2439,2016
2440,2016
2441,2017
2442,2017
2443,2016
2444,2017
2445,2018
2446,2016
2447,2020
2448,2017
2449,2017
2450,2017
2451,2016
2452,2016
2453,2016
2454,2017
2455,2016
2456,2018
2457,2016
2458,2018
2459,2017
2460,2017
2461,2017
2462,2018
2463,2016
2464,2017
2465,2016
2466,2018
2467,2016
2468,2019
2469,2016
2470,2017
2471,2016
2472,2016
2473,2016
2474,2016
2475,2016
2476,2016
2477,2017
2478,2017
2479,2016
2480,2017
2481,2017
2482,2016
2483,2019
2484,2018
2485,2018
2486,2018
2487,2016
2488,2016
2489,2018
2490,2016
2491,2016
2492,2016
2493,2016
2494,2016
2495,2016
2496,2016
